train_loss,val_loss
0.13152518300783067,0.1307771896443716
0.12307459222418922,0.08304561056741853
0.06732011142940748,0.05346675689627484
0.04550568998924324,0.031171863716913432
0.02555434237278643,0.01950510450434394
0.015612006054392882,0.01189585838739465
0.011230374730768659,0.009645009254355257
0.008970845446345351,0.007912475343157605
0.007393101762448039,0.0066174699856740675
0.006304392169806219,0.005572916031247232
0.0053478228593511245,0.00474595184233494
0.0045607318835599086,0.004637626101967038
0.004573411629757001,0.003679801426010161
0.003640684210473583,0.003328220805198681
0.0032948776081736597,0.003086448340426858
0.0030966077022077073,0.005841671591397465
0.004961150809235516,0.0030629921806749048
0.0037531339496906313,0.0035032605775064084
0.0031793444816555294,0.0033350514145795165
0.003050007602377307,0.0029113497925785984
0.002859032258302683,0.0026290846375248782
0.0026967060707864306,0.002521429858284026
0.0026023955461347385,0.0025958913923581927
0.002533006215734141,0.002431042588929214
0.0024936760088340158,0.002445857142802419
0.00247064855925384,0.002383936554329788
0.0024015962124048244,0.0023325573675697896
0.0023529222567698787,0.0023240724112838507
0.002385973520133467,0.0023148856352923847
0.0023346554510117997,0.0023720906877027054
